nombre,descripcion,costo,pvp,categoria,stock
Gel Corporal Premium,Gel corporal hidratante con aloe vera,150,250,Geles,15
Hidratante Facial,Crema hidratante ligera para todo tipo de piel,200,400,Hidratantes,20
Proteína Whey Vainilla,Proteína en polvo sabor vainilla 1kg,450,800,Proteinas,10
Carbohidratos Malto,Carbohidratos complejos para recuperación,300,600,Carbos,8
Multivitamínico Diario,Suplemento multivitamínico completo,180,350,Suplementos,25
Proteína de Huevo,Proteína en polvo de huevo pasteurizado,400,750,Proteinas,12
Suero Facial Antioxidante,Suero concentrado con vitamina C,280,500,Hidratantes,18
Gel de Ducha Neutro,Gel de ducha suave para piel sensible,100,200,Geles,30
Creatina Monohidrato,Creatina pura micronizada 300g,250,450,Suplementos,14
Barras Proteicas,Barras proteicas sabor chocolate 6 unidades,300,600,Proteinas,20
